family,arm,differential_ratio,offdiag_ratio
R410 CD-MATD3,message,2.5427448906909156,5.256929868426683
R410 CD-MATD3,no_message,2.006340749241337,2.9462537319949704
R431 adapted SAC,message,0.6347436524354518,0.5900367008463987
R431 adapted SAC,no_message,0.8459633377917004,0.8959790096545148
