arm,seed,artifact_round,origin,interaction_steps,actor_loss_previous_decile_median_abs,actor_loss_final_decile_median_abs,actor_loss_absolute_log_ratio,actor_loss_stable,critic_loss_previous_decile_median_abs,critic_loss_final_decile_median_abs,critic_loss_absolute_log_ratio,critic_loss_stable
an_cn_r0,401,R476,carryover,43200,0.29584633372724056,0.31090646237134933,0.049651926151987325,True,0.010771412635222077,0.011754606734029949,0.08734957975555782,True
an_cn_r0,402,R476,carryover,43200,0.3080783002078533,0.322727058082819,0.04645297245653385,True,0.011458984925411642,0.012307027936913073,0.0713963442699511,True
an_cn_r0,403,R476,carryover,43200,0.2758403904736042,0.29266108199954033,0.05919281972442865,True,0.00975733541417867,0.011084838421083987,0.1275589142967515,True
an_cn_r0,404,R476,carryover,43200,0.34601468220353127,0.35248053446412086,0.01851419107751138,True,0.015401167212985456,0.015952254412695765,0.035156862133268976,True
an_cn_r0,405,R476,carryover,43200,0.32326554507017136,0.32841769233345985,0.015812144041116083,True,0.013122512376867235,0.01364789204671979,0.039255823570940436,True
an_cn_r0,406,R476,carryover,43200,0.3456517346203327,0.36610710993409157,0.05749421987213573,True,0.014534165209624916,0.015259723062627017,0.048714778521025355,True
an_cn_r1,401,R476,carryover,43200,0.3623822592198849,0.3615640737116337,0.00226034947450528,True,0.014419939485378563,0.01396053924690932,0.032377210682023636,True
an_cn_r1,402,R476,carryover,43200,0.3555624447762966,0.352211806923151,0.009468168349052336,True,0.017368748493026942,0.0177882470889017,0.02386543557030493,True
an_cn_r1,403,R476,carryover,43200,0.3231106847524643,0.33349455893039703,0.03163160839687495,True,0.01254134124610573,0.012926908384542912,0.030280573226891115,True
an_cn_r1,404,R476,carryover,43200,0.3381517417728901,0.3277799226343632,0.031152319289519774,True,0.016938957676757127,0.016529399203136563,0.024475591708502956,True
an_cn_r1,405,R476,carryover,43200,0.352578017860651,0.3542460612952709,0.004719835049118635,True,0.015956337039824575,0.016043516108766198,0.005448730294012584,True
an_cn_r1,406,R476,carryover,43200,0.34339093044400215,0.34862130135297775,0.015116699588849385,True,0.015986733720637858,0.015625603962689638,0.022848387363343586,True
an_cp_r0,401,R476,carryover,43200,0.3207625187933445,0.3305657394230366,0.030104516020219324,True,0.011546317022293806,0.012395963305607438,0.07100436615254431,True
an_cp_r0,402,R476,carryover,43200,0.3157918155193329,0.3254896216094494,0.030247391856451766,True,0.011037434043828398,0.012019087153021246,0.08520339194681571,True
an_cp_r0,403,R476,carryover,43200,0.3787794001400471,0.38576215133070946,0.018267013337290895,True,0.015457067522220314,0.016018710448406637,0.03569109849438465,True
an_cp_r0,404,R476,carryover,43200,0.3931708261370659,0.40864670649170876,0.038606794914080374,True,0.016815227398183197,0.018750616814941168,0.10894178003984262,True
an_cp_r0,405,R477,fresh,43200,0.36186467856168747,0.36988601088523865,0.021924553672567557,True,0.015184396645054221,0.01620275096502155,0.06491267638427353,True
an_cp_r0,406,R477,fresh,43200,0.3648797906935215,0.3875838778913021,0.060364325671561865,True,0.013950019027106464,0.015137355425395072,0.0816846858584965,True
an_cp_r1,401,R477,fresh,43200,0.5035400688648224,0.49894803017377853,0.009161347277828856,True,0.02537061204202473,0.02549480157904327,0.004883073780249345,True
an_cp_r1,402,R477,fresh,43200,0.41359104588627815,0.4109820984303951,0.006328016331532146,True,0.01776108902413398,0.01878725318238139,0.056168563050576666,True
an_cp_r1,403,R477,fresh,43200,0.5334580168128014,0.5494731850922108,0.02957960015156568,True,0.01913782418705523,0.017731141997501254,0.07634417225122427,True
an_cp_r1,404,R477,fresh,43200,0.5908183678984642,0.5842283740639687,0.011216682182553207,True,0.03524654940702021,0.03580961003899574,0.01584865892311433,True
an_cp_r1,405,R477,fresh,43200,0.6011908426880836,0.5810625553131104,0.034054006630614475,True,0.028317378368228674,0.024808556772768497,0.1322870679757591,True
an_cp_r1,406,R477,fresh,43200,0.4260234236717224,0.4293542057275772,0.007787902736949348,True,0.01911398838274181,0.020961012924090028,0.09224374176027592,True
ap_cn_r0,401,R477,fresh,43200,0.28501321002840996,0.2934591546654701,0.02920293302544297,True,0.010540069197304547,0.011320025601889938,0.07138922612270855,True
ap_cn_r0,402,R477,fresh,43200,0.3041282631456852,0.31101300194859505,0.022385187547881942,True,0.011265000677667558,0.011874119867570698,0.05266059671773558,True
ap_cn_r0,403,R477,fresh,43200,0.29329824447631836,0.30044804885983467,0.024084866153880988,True,0.010526758269406855,0.010861404880415648,0.03129524688489907,True
ap_cn_r0,404,R477,fresh,43200,0.3261316195130348,0.3327108696103096,0.019972812673561477,True,0.014532487723045051,0.015297670383006334,0.05131387845670034,True
ap_cn_r0,405,R477,fresh,43200,0.30483467876911163,0.32707131654024124,0.07040864768381676,True,0.011430142563767731,0.013383827754296362,0.1577931435786115,True
ap_cn_r0,406,R477,fresh,43200,0.3134834058582783,0.33327454701066017,0.061220188992422604,True,0.012075004749931395,0.013814487843774259,0.13458029230674606,True
ap_cn_r1,401,R477,fresh,43200,0.3652711510658264,0.3716660514473915,0.01735578250984106,True,0.016749278001952916,0.016584137454628944,0.009908489493764062,True
ap_cn_r1,402,R477,fresh,43200,0.3748908266425133,0.3920757472515106,0.04482019927702626,True,0.020690948935225606,0.021767949452623725,0.05074232423880915,True
ap_cn_r1,403,R477,fresh,43200,0.3642047718167305,0.3666098453104496,0.006581921379243958,True,0.016477108118124306,0.015735979075543582,0.046022279447070456,True
ap_cn_r1,404,R477,fresh,43200,0.4277948997914791,0.44149647280573845,0.03152615626593967,True,0.023760460899211466,0.02510323142632842,0.054973687514720926,True
ap_cn_r1,405,R477,fresh,43200,0.3988088443875313,0.39537567272782326,0.00864583222566119,True,0.024064331548288465,0.02096375625114888,0.13793567159167022,True
ap_cn_r1,406,R477,fresh,43200,0.4127320721745491,0.4263055771589279,0.03235775960861701,True,0.02440625661984086,0.027203461388126016,0.10850470384647519,True
ap_cp_r0,401,R477,fresh,43200,0.29953209683299065,0.30838804692029953,0.029137302703114046,True,0.009517293772660196,0.010468653810676187,0.09527489993533447,True
ap_cp_r0,402,R477,fresh,43200,0.3263745903968811,0.3456919528543949,0.057502296816435296,True,0.011931361514143646,0.013432300183922052,0.11849191310080726,True
ap_cp_r0,403,R477,fresh,43200,0.3117544576525688,0.3223786912858486,0.03351103115837064,True,0.010445201594848186,0.011435179621912539,0.09055184000287758,True
ap_cp_r0,404,R477,fresh,43200,0.3122985027730465,0.3212306872010231,0.02820004665710061,True,0.01135451311711222,0.012846514116972685,0.12345720323916239,True
ap_cp_r0,405,R477,fresh,43200,0.3213380053639412,0.3255613185465336,0.01305728118720567,True,0.010192654910497367,0.010479200398549438,0.027725024058939784,True
ap_cp_r0,406,R477,fresh,43200,0.30807536467909813,0.3214867152273655,0.04261177804438574,True,0.01004813821054995,0.011218683095648885,0.11019315738963878,True
ap_cp_r1,401,R477,fresh,43200,0.4305042438209057,0.430096048861742,0.0009486285172001089,True,0.01578948786482215,0.01655086100799963,0.047093731527621974,True
ap_cp_r1,402,R477,fresh,43200,0.36859797313809395,0.3626883588731289,0.016162596380802047,True,0.014744967629667372,0.014509397558867931,0.016105299918132216,True
ap_cp_r1,403,R477,fresh,43200,0.3563694804906845,0.36684949323534966,0.02898360457656186,True,0.012411921401508152,0.013453301507979631,0.0805671270972536,True
ap_cp_r1,404,R477,fresh,43200,0.47002917528152466,0.4760831259191036,0.012797705423858852,True,0.02525807055644691,0.026132884086109698,0.03404871730819676,True
ap_cp_r1,405,R477,fresh,43200,0.4183197058737278,0.4146639071404934,0.008777656963539812,True,0.018189165857620537,0.018514346214942634,0.017719768356492163,True
ap_cp_r1,406,R477,fresh,43200,0.4785254970192909,0.48068762198090553,0.004508129800493094,True,0.022334319539368153,0.023298341780900955,0.0422577016103321,True
