stage,arm,actor_source,critic_source,reward_access,seed,profile,disturbance_differential_energy,off_diagonal_response_energy,source_sha256
half,an_cn_r1,N,N,1,402,canary_eval_d,0.0004711064192254336,0.00019662435400596666,bd13bec9c7f16ec62cc118cc01361ac0c5dac91c3a173f6d820fba124e258528
half,an_cn_r1,N,N,1,403,canary_eval_a,0.0002581778877649158,4.952198488412521e-05,21caae559e80fa3e4df5c98787dc9b7ef189a514577f7125b5dd6d695698dd74
half,an_cn_r1,N,N,1,403,canary_eval_b,0.000655339283752145,4.663494217629076e-05,8d1262c250ef3adef06e81a1de4268317dabc716ed475dbb62bfc73e6c20c3fa
half,an_cn_r1,N,N,1,403,canary_eval_c,0.000492974818486518,6.121987018306062e-05,a904b111d769530d764853fddeac0811027b0e0f80dc2251c213acf2c4ceba41
half,an_cn_r1,N,N,1,403,canary_eval_d,0.00017093923009017933,4.2259908017326656e-05,31b856efad969d053a5479e28d2e54a35a3d4a45cf38a38ffdc59127f4fd1b52
half,an_cn_r1,N,N,1,404,canary_eval_a,0.0002809681102772784,8.10448931749727e-05,1dc6237985c380910cfd170706e43f9e49c3d7d71f898edf714f76d88fbd3de8
half,an_cn_r1,N,N,1,404,canary_eval_b,0.0006902400491951226,7.335705719495976e-05,3a32bace6a2fe667b4a4415e971ccc27b771f19f15a22a59e50ce8ca8b82fb67
half,an_cn_r1,N,N,1,404,canary_eval_c,0.0005451168148649748,0.00010444126719677336,6057a4b7a8272818d4c6ef45b458815877c79df8aec223d809710a5eb2c34c51
half,an_cn_r1,N,N,1,404,canary_eval_d,0.00021861658308958658,7.692656118682181e-05,21ede45e9c847a283ef62f3784e1cd2e64f2226ab2fbe2892c1d0c565bb56ba0
half,an_cn_r1,N,N,1,405,canary_eval_a,0.0003059548358520584,6.21832697218145e-05,221f7eed72ab449e3e4e893f8cca434a146b949593e160202e874454f3308a9d
half,an_cn_r1,N,N,1,405,canary_eval_b,0.0005464239079524977,6.295661612472689e-05,6d0ef2f577148c5854ceea7bd4f20acf40f63ecdcb0495ed5921de98b0673987
half,an_cn_r1,N,N,1,405,canary_eval_c,0.0005704375956623711,6.86210855205967e-05,10e8f86ff13e57240245fd339033d68918584424acb6e43a62cf41747892cca1
half,an_cn_r1,N,N,1,405,canary_eval_d,0.0002322327054633038,7.108777123185242e-05,a936097f847a1f66b8d2c8ce08f3f7ca0eff284e3f4417c60bbd29729fbd5e07
half,an_cn_r1,N,N,1,406,canary_eval_a,0.0002465621065026589,6.850312663603094e-05,aed11dcc4b5d1cadc596bab32f925576e06d9d415532d2199d088a6a7a803dfe
half,an_cn_r1,N,N,1,406,canary_eval_b,0.0008113464523806729,6.446680850526372e-05,790fa51d2ca5e3a61c47ecf196fda9abfd59854cb262ba00e5fa683f40c1ba2f
half,an_cn_r1,N,N,1,406,canary_eval_c,0.0006306938353671779,9.158683848409906e-05,d76a9bada202d696a81ee3a64c246c34b591b8b0c0c7fc5fbf7e8c82f4b7e4e9
half,an_cn_r1,N,N,1,406,canary_eval_d,0.00018590521995208111,6.235164175888552e-05,ce89bb6e639a064768b6bc0e3ee4b4ff9fabb2809d9a92aa0dc65af1a032d4de
half,an_cp_r0,N,P,0,401,canary_eval_a,0.0002866296608375292,8.156132041555941e-05,c900b5cd2ebac031bc4ac70bf2569c445ebe653d61c97e3122c0217e4f63527f
half,an_cp_r0,N,P,0,401,canary_eval_b,0.0008448538623903508,0.00011822468772101567,e5479c57e10ecafaecdc9cbd3a08472386efe753116dda787589a8fb610685d0
half,an_cp_r0,N,P,0,401,canary_eval_c,0.0009374081710473337,0.00011002933145552135,d1927a6a05aa1bf1f9058b6c2b70a4a2fa3a76b0073ebe03969de68c8681573e
half,an_cp_r0,N,P,0,401,canary_eval_d,0.00037389620189863006,0.00013953128631352928,4d8a3435959adc25b01fa690921e9ec461855c39ff40179863894bb12178a729
half,an_cp_r0,N,P,0,402,canary_eval_a,0.00038402896641674125,0.00012520557588019925,4cdf022b06128bdc2f971230d65207ec97f7fa019cfeecc0b715860858f1184a
half,an_cp_r0,N,P,0,402,canary_eval_b,0.0011186638058097215,0.0001462143628427647,ce4979da536039944809fbfdf3a7d76c71c7f0bcc12da3a99b93f58ea9ff4204
half,an_cp_r0,N,P,0,402,canary_eval_c,0.0009007052110157499,0.00015897122248686562,8ffc506698cc38cd8dd25fcd9a0f12097f2a94c57ab0210dd2862b895e8cc6cd
half,an_cp_r0,N,P,0,402,canary_eval_d,0.00028685444969955186,9.854164491624818e-05,b4f2bc439a58a2c0187511e31cd426935d456ccea3ebd79f78547996ea7927c1
half,an_cp_r0,N,P,0,403,canary_eval_a,0.00040354351611524323,9.568994080908726e-05,6c3e5cdb132f0a5ae17a0212e57d19ddd2e4415f3f8f5e53f55e0ddbdf096b4c
half,an_cp_r0,N,P,0,403,canary_eval_b,0.0008180616138326172,0.00010676935137812243,3ab9600d65ba74d239be7fe9f1ec854628426f96de12e35d3e270a823c44db09
