stage,arm,n_seed_profiles,disturbance_differential_energy_arithmetic_mean,disturbance_differential_energy_geometric_mean,off_diagonal_response_energy_arithmetic_mean,off_diagonal_response_energy_geometric_mean
half,an_cn_r0,24,0.0005457270546749669,0.000491283424255458,0.0001080351081699798,0.00010124295323711618
half,an_cn_r1,24,0.0004905657053318525,0.0004290323357110887,8.880823510626252e-05,8.241598567628628e-05
half,an_cp_r0,24,0.000672285604889468,0.0005832381440332947,0.00016221850995421847,0.00013573847778143496
half,an_cp_r1,24,0.0007186446964874542,0.0006456195642260057,0.00013416150369252429,0.0001231829016122766
half,ap_cn_r0,24,0.0004649916785141913,0.0004177747449821904,6.867445650571339e-05,6.590068106067655e-05
half,ap_cn_r1,24,0.0004832462760220798,0.0004442189164365756,8.644463979506299e-05,8.401408852326509e-05
half,ap_cp_r0,24,0.0005143154971470567,0.00046964175119980166,9.573934813843082e-05,8.800645038237915e-05
half,ap_cp_r1,24,0.0005785762369248754,0.0005161272834314601,0.00010574443792340572,9.591286765619837e-05
final,an_cn_r0,24,0.0005247688019476433,0.0004896304046935062,7.610459925365729e-05,7.115198700670722e-05
final,an_cn_r1,24,0.0004048246820595088,0.00037060166076506964,5.7795038038436284e-05,5.5739898439536604e-05
final,an_cp_r0,24,0.0005446486388775207,0.000510133359693727,0.00010343549546793517,9.622853274997437e-05
final,an_cp_r1,24,0.000573358876179272,0.0005325773912457538,9.093337737559681e-05,8.74599613292875e-05
final,ap_cn_r0,24,0.0005534445457309878,0.0005093982477219211,8.773723452247404e-05,8.395540732450058e-05
final,ap_cn_r1,24,0.000515119204228517,0.0004646129967384063,7.799845946791186e-05,7.042381817357538e-05
final,ap_cp_r0,24,0.0004665865037306592,0.00041964706965147777,6.975085052200297e-05,6.69244924985707e-05
final,ap_cp_r1,24,0.0005024667992093549,0.0004494720915855611,9.102913105834697e-05,8.619705335553994e-05
