arm,off_diagonal_response_energy,disturbance_differential_energy,cross_ratio_vs_det,differential_ratio_vs_det
scalar TD3,0.001409921536,0.006457486365,4.115303685276758,2.9154826190741994
"CD-MATD3, no message",0.00142594623,0.006924335662,4.162076842924044,3.1262598370498678
"CD-MATD3, message",0.001744437851,0.007307441627,5.091695767215069,3.299227880509476
