arm,seed,common_iae_ratio,worst_peak_ratio,rocof_ratio,action_rms_ratio,action_tv_ratio,common_iae_ratio_passes,common_iae_ratio_multiple_of_ceiling,worst_peak_ratio_passes,worst_peak_ratio_multiple_of_ceiling,rocof_ratio_passes,rocof_ratio_multiple_of_ceiling,action_rms_ratio_passes,action_rms_ratio_multiple_of_ceiling,action_tv_ratio_passes,action_tv_ratio_multiple_of_ceiling,all_displayed_worst_guards_pass
scalar TD3,401,1.304,1.761,2.119,1.327,2.06,False,1.2660194174757282,False,1.7097087378640776,False,2.0572815533980586,False,1.2063636363636363,False,1.8727272727272726,False
scalar TD3,402,1.375,2.094,4.906,2.627,3.524,False,1.3349514563106797,False,2.033009708737864,False,4.763106796116505,False,2.3881818181818177,False,3.2036363636363636,False
scalar TD3,403,1.3,1.694,1.461,3.033,7.165,False,1.2621359223300972,False,1.6446601941747572,False,1.4184466019417477,False,2.757272727272727,False,6.513636363636363,False
"CD-MATD3, no message",401,1.2,1.735,2.681,3.583,3.594,False,1.1650485436893203,False,1.6844660194174759,False,2.602912621359223,False,3.2572727272727273,False,3.2672727272727267,False
"CD-MATD3, no message",402,1.233,1.612,4.288,3.659,4.805,False,1.1970873786407767,False,1.5650485436893204,False,4.163106796116505,False,3.3263636363636357,False,4.368181818181817,False
"CD-MATD3, no message",403,1.145,2.363,7.381,5.759,5.036,False,1.1116504854368932,False,2.2941747572815534,False,7.166019417475728,False,5.235454545454545,False,4.578181818181817,False
"CD-MATD3, message",401,1.361,2.214,5.495,4.545,8.354,False,1.3213592233009708,False,2.1495145631067962,False,5.334951456310679,False,4.131818181818182,False,7.594545454545453,False
"CD-MATD3, message",402,1.483,3.176,4.157,4.682,5.441,False,1.4398058252427186,False,3.083495145631068,False,4.035922330097088,False,4.256363636363637,False,4.946363636363635,False
"CD-MATD3, message",403,1.171,1.737,4.186,4.373,8.234,False,1.1368932038834951,False,1.6864077669902913,False,4.064077669902913,False,3.975454545454545,False,7.4854545454545445,False
