arm,seed,off_diagonal_response_energy,disturbance_differential_energy,cross_ratio_vs_det,differential_ratio_vs_det,cross_degradation_pct,differential_degradation_pct
scalar TD3,401,0.00087277754,0.005283716452,2.5474783773987144,2.3855386770022853,154.74783773987144,138.55386770022852
scalar TD3,402,0.001574685117,0.006869835345,4.596218512645346,3.1016535556012914,359.6218512645346,210.16535556012914
scalar TD3,403,0.001409921536,0.006457486365,4.115303685276758,2.9154826190741994,311.5303685276758,191.54826190741994
"CD-MATD3, no message",401,0.00142594623,0.005724366685,4.162076842924044,2.5844873116235987,316.20768429240445,158.44873116235988
"CD-MATD3, no message",402,0.001342942655,0.006924335662,3.919804553745644,3.1262598370498678,291.98045537456443,212.62598370498677
"CD-MATD3, no message",403,0.002802644244,0.008683936843,8.180407130012725,3.9207000216259185,718.0407130012725,292.07000216259183
"CD-MATD3, message",401,0.001594330876,0.007307441627,4.653560898266413,3.299227880509476,365.3560898266413,229.92278805094762
"CD-MATD3, message",402,0.001744437851,0.007980829948,5.091695767215069,3.603255149758392,409.16957672150687,260.32551497583916
"CD-MATD3, message",403,0.00192896632,0.006581981548,5.630300696017417,2.971690796943881,463.03006960174173,197.16907969438807
