s,error_after_s_minus_1,error_after_s_minus_2,scaled_s2_error_after_first,scaled_s3_error_after_second
25.0,0.0014310785458558923,0.00018351035012330883,0.8944240911599327,2.8673492206767004
50.0,0.00033888190088069044,2.363275859962059e-05,0.8472047522017261,2.954094824952574
100.0,8.228539224381325e-05,2.995550388066136e-06,0.8228539224381325,2.9955503880661363
200.0,2.026320563739724e-05,3.76968790749206e-07,0.8105282254958895,3.0157503259936482
400.0,5.027079296489962e-06,4.7276756214803455e-08,0.8043326874383939,3.025712397747421
800.0,1.2519177956492585e-06,5.919254350271882e-09,0.8012273892155254,3.0306582273392033


